PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,,
Justin James,SAC,23,2,1,1,7.1,2,1,3,33.3,0,1.5,0,0,0,0,0,1,1,1,0,0,0,0.5,4.7,0,0,,
Justin Wright-Foreman,UTA,22,3,1,2,14.5,6.3,2.3,6.7,35,0.7,3.3,20,1,1.3,75,0,1.7,1.7,2.3,1,0.7,0,1.7,12.8,0,0,,
Jusuf Nurkic,POR,25,8,6,2,31.6,17.6,6.8,13.6,49.5,0.3,1.3,20,3.9,4.4,88.6,2.9,7.4,10.3,4,2.4,1.4,2,4.9,43.7,3,0,,
Juwan Morgan,UTA,23,5,2,3,12.1,3.4,1.2,1.8,66.7,0.4,0.6,66.7,0.6,0.8,75,1,1,2,0.8,0.6,0.2,0.2,2.4,7.6,0,0,,
Kawhi Leonard,LAC,29,6,3,3,34.2,28.8,9.3,19.5,47.9,2.7,5.5,48.5,7.5,8.7,86.5,0.3,4.5,4.8,4.3,1.5,1.8,0.3,2.5,46.1,0,0,,
Keita Bates-Diop,DEN,24,5,0,5,15.8,6,2.2,5.2,42.3,0.6,1.8,33.3,1,1.2,83.3,0.8,2.2,3,0,0.6,0.4,0.6,1,12,0,0,,
Keldon Johnson,SAS,20,8,5,3,26.1,14.1,4.6,7.3,63.8,1.4,2.1,64.7,3.5,4.3,82.4,0.6,4.4,5,1.1,1.3,1.1,0.1,2.4,24.3,1,0,,
Kelly Olynyk,MIA,29,8,3,5,26.4,12.1,4.1,10.1,40.7,1.9,6.1,30.6,2,2.3,88.9,0.9,4.9,5.8,2.4,1,0.9,0.6,3.6,26.1,0,0,,
Kemba Walker,BOS,30,6,4,2,25.1,14.2,4.7,9.5,49.1,2.5,5.8,42.9,2.3,2.8,82.4,0.5,1.7,2.2,3.5,1.7,0.2,0.5,2.3,22.4,0,0,,
Kendrick Nunn,MIA,24,5,2,3,23.3,10.8,4,12.8,31.3,1.2,5.8,20.7,1.6,1.6,100,0.4,2,2.4,2,2.6,1,0.8,2,19.5,0,0,,
Kenrich Williams,NOP,25,4,0,4,13.2,1,0.5,1,50,0,0.3,0,0,0.5,0,0.5,1.5,2,1,0.3,0.5,0,1.8,6.2,0,0,,
Kent Bazemore,SAC,30,4,1,3,20.9,10,3.8,9.8,38.5,1.5,4,37.5,1,1.3,80,0.8,3.5,4.3,2,1.5,1,0.3,3.5,20.4,0,0,,
Kentavious Caldwell-Pope,LAL,27,6,2,4,26.4,7.3,2.8,6.8,41.5,0.8,3,27.8,0.8,1.2,71.4,0.2,1.5,1.7,1,1.2,0.7,0.2,1.8,12.2,0,0,,
Kevin Hervey,OKC,23,3,0,3,10.9,5,2,5.3,37.5,1,4,25,0,0,0,0.3,3,3.3,1.3,0,0.3,0.3,1,13,0,0,,
Khem Birch,ORL,27,8,3,5,18.1,7.4,2.1,3.5,60.7,0,0,0,3.1,4.3,73.5,2.6,2.4,5,1.9,1,0.5,0.3,2.3,17.4,0,0,,
Khris Middleton,MIL,28,7,2,5,28.5,19.7,6.7,13.9,48.5,2,5.1,38.9,4.3,4.4,96.8,0.6,5.3,5.9,5.7,3.4,0.3,0,2.9,32.7,2,0,,
Kostas Antetokounmpo,LAL,22,2,0,2,7.5,3.5,1.5,1.5,100,0,0,0,0.5,1,50,1,0,1,0.5,0.5,0,0,1,5,0,0,,
Kristaps Porzingis,DAL,24,6,2,4,36.1,30.5,9.8,20.7,47.6,2.7,7,38.1,8.2,9.2,89.1,1.8,7.7,9.5,2.2,1.3,0.8,1.5,4.7,50.8,2,0,,
Kyle Alexander,MIA,23,2,0,2,6.7,1,0.5,1,50,0,0,0,0,0,0,1,0.5,1.5,0,0.5,0,0,0.5,2.3,0,0,,
Kyle Anderson,MEM,26,8,2,6,23.7,6.9,2.4,6.4,37.3,1,2.9,34.8,1.1,1.5,75,0.5,3,3.5,3.8,1.4,1,0.8,3.3,20.6,0,0,,
Kyle Guy,SAC,22,1,1,0,5.6,2,1,3,33.3,0,2,0,0,0,0,0,1,1,1,0,0,0,1,4.7,0,0,,
Kyle Korver,MIL,39,8,3,5,15.9,6.3,1.9,4.3,44.1,1.6,3.8,43.3,0.9,0.9,100,0.1,2.1,2.3,0.9,0.8,0.6,0,1.3,11.4,0,0,,
Kyle Kuzma,LAL,24,7,3,4,28.4,15.4,5.3,11.4,46.3,2.3,5.1,44.4,2.6,3.6,72,0.6,3.9,4.4,1.6,0.9,1,0.7,2.9,27.4,0,0,,
Kyle Lowry,TOR,34,6,5,1,32.9,16.7,4.2,10.3,40.3,1.8,5.7,32.4,6.5,7.8,83,0.3,6.5,6.8,5.7,4,2,0.7,3.7,37.4,1,0,,
Kyle O'Quinn,PHI,30,3,1,2,18.2,5,2.3,4.3,53.8,0,1.3,0,0.3,0.3,100,0.7,5.3,6,5.3,0.7,0.7,0.7,0.7,23.5,1,0,,
Lance Thomas,BKN,32,7,4,3,14,3.4,1.1,3.3,34.8,0.6,1.9,30.8,0.6,0.6,100,0.3,1.6,1.9,0.9,0.9,0,0,1.6,6.1,0,0,,
Landry Shamet,LAC,23,6,3,3,26.3,6.3,2,6.7,30,1,4.7,21.4,1.3,2.2,61.5,0,1.7,1.7,2,1,0.2,0.2,2,11.3,0,0,,
LeBron James,LAL,35,7,3,4,31.7,22,8.1,18.1,44.9,2.1,6.3,34.1,3.6,5.4,65.8,1,6.4,7.4,6.9,3.1,0.6,0.9,1.7,42.3,4,0,,
Lonnie Walker IV,SAS,21,8,5,3,27.6,11.3,4.5,11.3,40,1.5,3.8,40,0.8,1,75,0.4,2.6,3,2.8,1.6,0.5,0.1,1,19.2,0,0,,
Lonzo Ball,NOP,22,7,2,5,29.8,7.1,2.6,8.4,30.5,1.3,4.6,28.1,0.7,1.3,55.6,1.1,3.9,5,6.6,3,1.1,1.1,2.6,26.9,0,0,,
Lou Williams,LAC,33,5,3,2,21.3,13.2,4.8,10.6,45.3,0.8,4,20,2.8,3.4,82.4,0.6,2.4,3,4.2,2,0.6,0.4,0.6,24.1,0,0,,
Luc Mbah a Moute,HOU,33,3,1,2,8.2,1.7,0.7,1.7,40,0,0.7,0,0.3,0.7,50,0.3,0.3,0.7,0,0.3,0.7,0,0,4.1,0,0,,
Luguentz Dort,OKC,21,7,4,3,26.1,9.1,3,8.7,34.4,1.1,4,28.6,2,2.4,82.4,1.3,2.6,3.9,0.9,1,1.1,0.3,2.7,18.3,0,0,,
Luka Doncic,DAL,21,7,2,5,35.5,30,9.9,20.6,47.9,2.1,7.1,30,8.1,10.1,80.3,1.3,8.9,10.1,9.7,4.7,0.4,0.6,2.7,55,5,3,,
Luka Samanic,SAS,20,2,1,1,18.2,8,2.5,6,41.7,1.5,3,50,1.5,2,75,0.5,3.5,4,1.5,1,0,1,3,17.1,0,0,,
Malcolm Brogdon,IND,27,6,4,2,32.4,18.2,6.2,14.2,43.5,2.3,5.8,40,3.5,4,87.5,1,5,6,6.3,2.7,0.3,0.3,1.7,34.2,0,0,,
Malcolm Miller,TOR,27,3,3,0,12.3,4,1.3,1.7,80,0.7,1,66.7,0.7,0.7,100,0.3,0.3,0.7,1,0.3,0.3,0,2,7,0,0,,
Marc Gasol,TOR,35,8,7,1,21.4,7,2.5,5.4,46.5,0.8,2.6,28.6,1.3,1.6,76.9,0.3,5.6,5.9,2.9,2,0.8,0.6,2.9,20.5,0,0,,
Marco Belinelli,SAS,34,5,4,1,21,12,3.4,8.6,39.5,2,4.6,43.5,3.2,3.4,94.1,0.6,1.2,1.8,1,0.6,0.4,0,0.8,16.3,0,0,,
Marcus Morris Sr.,LAC,30,7,4,3,29.8,11.1,4.3,8.6,50,1.3,3.4,37.5,1.3,1.6,81.8,0.6,3.7,4.3,1.3,1.3,0.7,0.4,2.7,20.4,0,0,,
Marcus Smart,BOS,26,7,5,2,28.4,8.9,2.3,7.1,32,1.3,3.9,33.3,3,3.6,84,0.3,2.7,3,4.9,2,2.1,0.3,2.9,25,0,0,,
Marial Shayok,PHI,24,2,1,1,8.8,4,1,3.5,28.6,0.5,1.5,33.3,1.5,2,75,0.5,1.5,2,0,1,0,0.5,2,6.9,0,0,,
Mario Hezonja,POR,25,6,4,2,17.5,5.2,1.8,4.8,37.9,0.5,2.3,21.4,1,1.3,75,0.7,3,3.7,1.3,0.8,1.3,0,2.5,14.7,0,0,,
Markelle Fultz,ORL,22,8,3,5,22.9,12.3,4.9,12,40.6,0.8,2.1,35.3,1.8,2.3,77.8,0.8,2.4,3.1,4.4,2,0.9,0.1,2,23.6,1,0,,
